Cenario,Accuracy,Precision,Recall,F1
limpo,0.14102564102564102,0.1391304347826087,0.14153225806451614,0.13906833306281446
ruido_gaussiano,0.1987179487179487,0.16255385820603213,0.19959677419354838,0.17850902737332558
ruido_rosa,0.16025641025641027,0.14055727554179567,0.16088709677419355,0.14894586894586898
cortes_audio,0.14102564102564102,0.12746212121212122,0.14153225806451614,0.13333333333333333
deslocamento_temporal,0.14743589743589744,0.1419047619047619,0.14778225806451611,0.1429122468659595
